Phase,resource_utilization,job_id,Owner,expected_duration,Planned Start,Planned End,start_time,end_time,progress
Initiation,Reconciliation Service,Task 1 - Reconciliation Service,Security,4,01-12-2025,05-12-2025,,,Not Started
Design,Payment Processing,Task 2 - Payment Processing,HR,4,11-04-2025,15-04-2025,11-04-2025,,In Progress
Design,Internal Payment Engine,Task 3 - Internal Payment Engine,Business Analyst,1,16-06-2025,17-06-2025,16-06-2025,,In Progress
Design,Reconciliation Service,Task 4 - Reconciliation Service,HR,2,13-06-2025,15-06-2025,13-06-2025,15-06-2025,Done
Initiation,Reconciliation Service,Task 5 - Reconciliation Service,DevOps Engineer,2,29-07-2025,31-07-2025,29-07-2025,31-07-2025,Done
Execution,Payment Processing,Task 6 - Payment Processing,Security,3,16-07-2025,19-07-2025,16-07-2025,19-07-2025,Done
Execution,Reporting & Analytics,Task 7 - Reporting & Analytics,Business Analyst,2,10-09-2025,12-09-2025,,,Not Started
Execution,Payment Processing,Task 8 - Payment Processing,QA Lead,4,22-06-2025,26-06-2025,22-06-2025,,In Progress
Closure,Payment Processing,Task 9 - Payment Processing,UI/UX Designer,3,25-04-2025,28-04-2025,25-04-2025,28-04-2025,Done
Planning,Reconciliation Service,Task 10 - Reconciliation Service,DevOps Engineer,3,17-07-2025,20-07-2025,17-07-2025,,In Progress
Design,Reporting & Analytics,Task 11 - Reporting & Analytics,Project Manager,1,05-05-2025,06-05-2025,05-05-2025,,In Progress
Closure,Customer Payment Portal,Task 12 - Customer Payment Portal,Security,5,19-06-2025,24-06-2025,,,Not Started
Testing,Payment Processing,Task 13 - Payment Processing,Project Manager,1,22-08-2025,23-08-2025,22-08-2025,23-08-2025,Done
Planning,Reconciliation Service,Task 14 - Reconciliation Service,Business Analyst,2,18-10-2025,20-10-2025,18-10-2025,20-10-2025,Done
Closure,Reconciliation Service,Task 15 - Reconciliation Service,QA Lead,3,04-06-2025,07-06-2025,04-06-2025,07-06-2025,Done
Initiation,Integration & Data Migration,Task 16 - Integration & Data Migration,Security,4,19-09-2025,23-09-2025,,,Not Started
Closure,Reporting & Analytics,Task 17 - Reporting & Analytics,Business Analyst,5,29-05-2025,03-06-2025,,,Not Started
Initiation,Integration & Data Migration,Task 18 - Integration & Data Migration,PMO,4,04-12-2025,08-12-2025,04-12-2025,,In Progress
Assessment,Payment Processing,Task 19 - Payment Processing,UI/UX Designer,5,15-06-2025,20-06-2025,,,Not Started
Initiation,Admin & User Management,Task 20 - Admin & User Management,Business Analyst,4,09-09-2025,13-09-2025,,,Not Started
Planning,Customer Payment Portal,Task 21 - Customer Payment Portal,Business Analyst,5,22-04-2025,27-04-2025,,,Not Started
Testing,Mandate Management,Task 22 - Mandate Management,HR,2,29-12-2025,31-12-2025,29-12-2025,,In Progress
Design,Reporting & Analytics,Task 23 - Reporting & Analytics,PMO,4,20-04-2025,24-04-2025,20-04-2025,,In Progress
Initiation,Admin & User Management,Task 24 - Admin & User Management,Project Manager,3,30-08-2025,02-09-2025,30-08-2025,,In Progress
Deployment,Reporting & Analytics,Task 25 - Reporting & Analytics,Business Analyst,5,03-12-2025,08-12-2025,03-12-2025,08-12-2025,Done
Assessment,Mandate Management,Task 26 - Mandate Management,Project Manager,1,28-06-2025,29-06-2025,28-06-2025,29-06-2025,Done
Execution,Reporting & Analytics,Task 27 - Reporting & Analytics,PMO,5,09-05-2025,14-05-2025,09-05-2025,,In Progress
Execution,Admin & User Management,Task 28 - Admin & User Management,Business Analyst,2,11-09-2025,13-09-2025,11-09-2025,13-09-2025,Done
Deployment,Integration & Data Migration,Task 29 - Integration & Data Migration,PMO,3,31-10-2025,03-11-2025,31-10-2025,,In Progress
Testing,Internal Payment Engine,Task 30 - Internal Payment Engine,QA Lead,5,31-08-2025,05-09-2025,31-08-2025,05-09-2025,Done
Planning,Internal Payment Engine,Task 31 - Internal Payment Engine,QA Lead,5,20-10-2025,25-10-2025,20-10-2025,,In Progress
Execution,Integration & Data Migration,Task 32 - Integration & Data Migration,UI/UX Designer,4,07-04-2025,11-04-2025,07-04-2025,11-04-2025,Done
Deployment,Customer Payment Portal,Task 33 - Customer Payment Portal,Business Analyst,1,06-10-2025,07-10-2025,06-10-2025,07-10-2025,Done
Closure,Mandate Management,Task 34 - Mandate Management,Business Analyst,5,19-10-2025,24-10-2025,19-10-2025,24-10-2025,Done
Initiation,Customer Payment Portal,Task 35 - Customer Payment Portal,QA Lead,2,16-05-2025,18-05-2025,16-05-2025,,In Progress
Planning,Mandate Management,Task 36 - Mandate Management,QA Lead,1,25-07-2025,26-07-2025,,,Not Started
Design,Reconciliation Service,Task 37 - Reconciliation Service,UI/UX Designer,4,17-11-2025,21-11-2025,17-11-2025,,In Progress
Design,Reporting & Analytics,Task 38 - Reporting & Analytics,UI/UX Designer,2,15-04-2025,17-04-2025,15-04-2025,,In Progress
Closure,Reconciliation Service,Task 39 - Reconciliation Service,Security,4,21-08-2025,25-08-2025,21-08-2025,,In Progress
Testing,Reconciliation Service,Task 40 - Reconciliation Service,UI/UX Designer,3,06-05-2025,09-05-2025,06-05-2025,09-05-2025,Done
Design,Mandate Management,Task 41 - Mandate Management,QA Lead,1,04-06-2025,05-06-2025,,,Not Started
Deployment,Reconciliation Service,Task 42 - Reconciliation Service,DevOps Engineer,4,21-12-2025,25-12-2025,,,Not Started
Execution,Internal Payment Engine,Task 43 - Internal Payment Engine,HR,1,09-06-2025,10-06-2025,09-06-2025,10-06-2025,Done
Closure,Payment Processing,Task 44 - Payment Processing,QA Lead,2,16-09-2025,18-09-2025,,,Not Started
Design,Integration & Data Migration,Task 45 - Integration & Data Migration,DevOps Engineer,4,03-10-2025,07-10-2025,,,Not Started
Design,Mandate Management,Task 46 - Mandate Management,UI/UX Designer,5,01-05-2025,06-05-2025,01-05-2025,,In Progress
Initiation,Internal Payment Engine,Task 47 - Internal Payment Engine,HR,1,15-06-2025,16-06-2025,,,Not Started
Design,Admin & User Management,Task 48 - Admin & User Management,UI/UX Designer,5,31-08-2025,05-09-2025,,,Not Started
Assessment,Admin & User Management,Task 49 - Admin & User Management,PMO,1,18-08-2025,19-08-2025,18-08-2025,,In Progress
Assessment,Admin & User Management,Task 50 - Admin & User Management,UI/UX Designer,2,25-12-2025,27-12-2025,,,Not Started
Initiation,Admin & User Management,Task 51 - Admin & User Management,Security,4,11-09-2025,15-09-2025,11-09-2025,15-09-2025,Done
